Date,Temperature_degC,Pressure_mbar,Humitity_percent
2017-04-23 20:35:09.486708,27.2,987.2,30.4
2017-04-23 20:36:01.224974,27.0,987.1,30.5
2017-04-23 20:36:38.856352,27.3,987.1,30.2
2017-04-23 20:36:44.624278,27.2,987.1,30.8
2017-04-23 20:36:49.096352,27.0,987.1,30.7
2017-04-23 20:36:53.578805,27.1,987.1,30.6
2017-04-23 20:37:18.368994,27.1,987.1,30.4
2017-04-23 20:37:41.092859,26.8,987.1,30.3
2017-04-23 20:37:45.513049,26.9,987.1,31.5
2017-04-23 20:37:50.072949,26.8,987.2,30.7
2017-04-23 20:37:54.357132,26.8,987.1,30.7
2017-04-23 20:38:03.435465,26.7,987.1,30.8
2017-04-23 20:38:07.722362,26.7,987.1,31.3
2017-04-23 20:38:12.154013,26.8,987.1,31.2
2017-04-23 20:38:16.620925,26.6,987.1,31.3
2017-04-23 20:45:04.949743,25.9,987.2,32.3
2017-04-23 20:46:04.946032,26.0,987.1,32.2
2017-04-23 20:47:05.025683,25.9,987.1,32.3
2017-04-23 20:48:05.055968,25.9,987.2,32.3
2017-04-23 20:49:05.032724,25.7,987.2,32.7
2017-04-23 20:50:05.079609,25.7,987.1,33.2
2017-04-23 20:51:05.105788,26.0,987.1,31.8
2017-04-23 20:52:05.156167,26.0,987.2,32.4
2017-04-23 20:53:05.180953,26.1,987.2,32.5
2017-04-23 20:54:05.171402,26.0,987.2,32.6
2017-04-23 20:55:05.164629,25.9,987.1,32.3
2017-04-23 20:56:05.163615,25.8,987.1,32.5
2017-04-23 20:57:05.132226,26.0,987.1,32.5
2017-04-23 20:58:05.180968,25.9,987.0,32.5
2017-04-23 20:59:05.175959,26.0,987.1,32.4
2017-04-23 21:00:05.163627,25.7,987.1,32.7
2017-04-23 21:01:05.160581,25.9,987.1,32.8
2017-04-23 21:02:05.173630,26.1,987.1,32.5
2017-04-23 21:03:05.214946,26.0,987.1,32.3
2017-04-23 21:04:05.223991,26.1,987.0,32.2
2017-04-23 21:05:05.188522,26.3,987.0,32.4
2017-04-23 21:06:05.207468,26.5,987.0,32.1
2017-04-23 21:07:05.225306,26.8,987.0,31.5
2017-04-23 21:08:05.225171,26.8,986.9,31.6
2017-04-23 21:09:05.246785,27.1,987.0,31.9
2017-04-23 21:10:05.234291,27.2,987.0,31.2
2017-04-23 21:11:05.259213,27.3,986.9,31.2
2017-04-23 21:12:05.332214,27.0,987.0,31.6
2017-04-23 21:13:05.452240,26.8,986.9,31.7
2017-04-23 21:14:04.518686,26.7,987.0,32.1
2017-04-23 21:15:04.486981,26.6,987.0,31.8
2017-04-23 21:16:04.494607,27.0,986.9,31.1
